City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Esperance,AU,73.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
2,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
3,Rikitea,PF,73.08,overcast clouds,-23.1203,-134.9692,People ThankYou
7,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
8,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
9,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
22,Sao Miguel,BR,81.37,scattered clouds,-5.4667,-35.3667,Maracajaú Reef
28,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
29,Ribeira Grande,PT,71.2,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
35,Hervey Bay,AU,77.11,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
37,Gombong,ID,80.83,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
41,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Ternate,ID,83.44,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
49,Carutapera,BR,77.63,overcast clouds,-1.195,-46.02,Lidera
50,Mahon,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
51,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
55,Berbera,SO,82.04,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
59,Arlit,NE,80.62,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
70,Dutse,NG,74.41,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
71,Yilan,TW,77.11,overcast clouds,24.757,121.753,Dar Chen Hotel
73,Victoria,HK,77.38,scattered clouds,22.2855,114.1577,Mini Hotel Central
75,Coelho Neto,BR,73.6,overcast clouds,-4.2567,-43.0128,Hotel Tejof
79,Port Macquarie,AU,71.56,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
80,Diamantino,BR,73.67,overcast clouds,-14.4086,-56.4461,Hotel Delta
83,Ixtapa,MX,75.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
86,Alta Floresta,BR,70.48,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
90,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
93,Ponta Do Sol,PT,73.0,broken clouds,32.6667,-17.1,Hotel do Campo
96,Arraial Do Cabo,BR,70.05,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
98,Souillac,MU,70.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
102,Batticaloa,LK,79.9,scattered clouds,7.7102,81.6924,Grand Star Guest House
104,Pemangkat,ID,81.45,overcast clouds,1.1667,108.9667,Ramah Kost KITA
108,Gigmoto,PH,83.41,few clouds,13.7796,124.39,Cj's Travellers Inn
111,Ocos,GT,81.32,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
113,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
118,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
121,Faanui,PF,78.76,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
122,Isangel,VU,77.99,overcast clouds,-19.55,169.2667,Tanna Lodge
124,Salur,IN,75.18,overcast clouds,18.5333,83.2167,Pradeep
125,Caravelas,BR,75.18,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
129,Niteroi,BR,71.58,light rain,-22.8833,-43.1036,Guesthouse
130,Atar,MR,80.6,clear sky,20.5169,-13.0499,Oumou Elghoura
132,Buala,SB,83.32,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
134,Port Lincoln,AU,71.53,clear sky,-34.7333,135.8667,Port Lincoln Hotel
135,Saint George,US,74.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
136,Amalapuram,IN,79.18,broken clouds,16.5833,82.0167,swayamprabha service apartments
139,Biak,ID,82.89,scattered clouds,-0.9131,122.8766,Penginapan Kim
140,Lakatoro,VU,81.23,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
143,Kavieng,PG,85.95,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
144,Santa Isabel Do Rio Negro,BR,75.87,broken clouds,-0.4139,-65.0192,Hotel GSA
152,Moratuwa,LK,77.02,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
154,Airai,TL,73.96,broken clouds,-8.9266,125.4092,Juvinal Martin
156,Marawi,PH,72.64,scattered clouds,7.9986,124.2928,Derogongan Residence
159,Namatanai,PG,85.19,light rain,-3.6667,152.4333,Seagulls Inn Namatani
160,Karratha,AU,77.56,clear sky,-20.7377,116.8463,ibis Styles Karratha
162,Wanlaweyn,SO,76.46,clear sky,2.6185,44.8938,GAASHAAN HOME
164,Kahului,US,87.06,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
165,Nelson Bay,AU,74.28,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
169,Sao Joao Da Barra,BR,70.9,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
171,Marsh Harbour,BS,76.82,clear sky,26.5412,-77.0636,Abaco Beach Resort
174,Hithadhoo,MV,81.81,overcast clouds,-0.6,73.0833,Scoop Guest House
177,Bilma,NE,76.87,clear sky,18.6853,12.9164,Expeditions Ténére voyages
178,Salaya,IN,76.86,clear sky,22.3167,69.6,sumbhaiya suny Muslim Jama
180,Broken Hill,AU,76.71,broken clouds,-31.95,141.4333,Royal Exchange Hotel
181,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
182,Pekan,MY,77.11,light rain,3.4836,103.3996,Pekan Budget Hotel
188,Alyangula,AU,89.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
191,Pathein,MM,77.74,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
