City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,46.06,71,0,6.91,clear sky
1,Esperance,AU,-33.8667,121.9,73.24,44,100,15.21,overcast clouds
2,Butaritari,KI,3.0707,172.7902,81.81,76,1,11.54,light rain
3,Rikitea,PF,-23.1203,-134.9692,73.08,78,100,17.69,overcast clouds
4,Hobart,AU,-42.8794,147.3294,63.01,57,75,3.0,broken clouds
5,Norman Wells,CA,65.282,-126.8329,23.04,93,75,0.0,broken clouds
6,Port Alfred,ZA,-33.5906,26.891,66.06,81,100,15.08,overcast clouds
7,Georgetown,MY,5.4112,100.3354,79.9,89,20,3.0,few clouds
8,Maceio,BR,-9.6658,-35.7353,76.44,94,20,5.75,few clouds
9,Vaini,TO,-21.2,-175.2,82.56,78,75,10.36,broken clouds
10,Husavik,IS,66.0449,-17.3389,33.71,99,100,19.95,moderate rain
11,Tasiilaq,GL,65.6145,-37.6368,24.96,58,9,8.23,clear sky
12,Cape Town,ZA,-33.9258,18.4232,64.09,71,40,1.01,light rain
13,Veere,NL,51.5483,3.6667,52.95,88,28,13.0,scattered clouds
14,Balaipungut,ID,1.05,101.2833,73.81,93,100,2.01,light rain
15,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,74,75,14.97,broken clouds
16,Iqaluit,CA,63.7506,-68.5145,29.93,86,90,8.99,overcast clouds
17,Busselton,AU,-33.65,115.3333,59.04,62,94,18.41,overcast clouds
18,Nanma,CN,36.1817,118.1583,53.13,67,0,10.04,clear sky
19,Valdivia,CL,-39.8142,-73.2459,57.29,94,0,3.09,clear sky
20,Cherskiy,RU,68.75,161.3,-0.06,97,100,5.79,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,61.63,49,100,10.96,overcast clouds
22,Sao Miguel,BR,-5.4667,-35.3667,81.37,77,40,15.52,scattered clouds
23,Codrington,AU,-38.2667,141.9667,63.59,61,1,3.56,clear sky
24,East London,ZA,-33.0153,27.9116,64.98,83,100,13.78,overcast clouds
25,Avera,US,33.194,-82.5271,60.67,75,0,6.96,clear sky
26,Chokurdakh,RU,70.6333,147.9167,-10.77,100,87,6.6,overcast clouds
27,Kiruna,SE,67.8557,20.2251,29.32,100,90,0.0,fog
28,Avarua,CK,-21.2078,-159.775,77.05,69,40,14.97,scattered clouds
29,Ribeira Grande,PT,38.5167,-28.7,71.2,88,100,7.38,overcast clouds
