City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint George,37.1041,-113.5841,81.07,26,1,1.99,US,2021-10-31 21:54:25
1,East London,-33.0153,27.9116,65.8,82,70,12.64,ZA,2021-10-31 21:57:37
2,Tasiilaq,65.6145,-37.6368,18.16,59,62,5.59,GL,2021-10-31 21:57:37
3,Jamestown,42.097,-79.2353,53.29,79,75,11.01,US,2021-10-31 21:53:15
4,Longyearbyen,78.2186,15.6401,25.75,88,100,5.99,SJ,2021-10-31 21:57:38
5,Cape Town,-33.9258,18.4232,65.08,71,75,3.0,ZA,2021-10-31 21:57:38
6,Cidreira,-30.1811,-50.2056,68.14,87,7,21.63,BR,2021-10-31 21:57:39
7,Hithadhoo,-0.6,73.0833,82.31,76,100,18.54,MV,2021-10-31 21:57:39
8,Barrow,71.2906,-156.7887,24.78,94,100,15.43,US,2021-10-31 21:57:40
9,Bom Jesus,-9.0744,-44.3586,86.07,35,85,3.62,BR,2021-10-31 21:57:40
10,Port Alberni,49.2413,-124.8028,55.9,64,0,1.99,CA,2021-10-31 21:57:40
11,Lamu,-2.2717,40.902,78.28,85,10,10.89,KE,2021-10-31 21:57:41
12,Lorengau,-2.0226,147.2712,81.05,82,100,13.29,PG,2021-10-31 21:57:41
13,Dodola,6.9833,39.1833,47.26,78,16,2.95,ET,2021-10-31 21:57:42
14,Atuona,-9.8,-139.0333,78.73,75,4,19.86,PF,2021-10-31 21:57:42
15,Rikitea,-23.1203,-134.9692,73.22,86,73,14.99,PF,2021-10-31 21:57:42
16,Tshikapa,-6.4167,20.8,71.47,87,77,2.21,CD,2021-10-31 21:57:43
17,Qandala,11.472,49.8728,79.54,76,33,7.52,SO,2021-10-31 21:57:43
18,Ugoofaaru,5.6667,73.0,81.46,76,100,17.67,MV,2021-10-31 21:57:43
19,Dunedin,-45.8742,170.5036,59.81,44,55,8.01,NZ,2021-10-31 21:54:13
20,Bluff,-46.6,168.3333,55.53,68,96,27.02,NZ,2021-10-31 21:52:47
21,Cockburn Town,21.4612,-71.1419,84.16,65,20,0.0,TC,2021-10-31 21:57:44
22,Walvis Bay,-22.9575,14.5053,60.1,88,0,4.61,NA,2021-10-31 21:57:45
23,Jinka,5.65,36.65,65.5,49,17,4.68,ET,2021-10-31 21:57:45
24,Punta Arenas,-53.15,-70.9167,51.91,62,0,17.27,CL,2021-10-31 21:57:45
25,Naze,28.3667,129.4833,67.12,80,96,14.9,JP,2021-10-31 21:57:46
26,Cabo San Lucas,22.8909,-109.9124,88.61,66,14,1.01,MX,2021-10-31 21:57:46
27,Albany,42.6001,-73.9662,58.08,77,99,1.01,US,2021-10-31 21:54:16
28,Rio Gallegos,-51.6226,-69.2181,59.05,29,0,31.07,AR,2021-10-31 21:54:13
29,Kapaa,22.0752,-159.319,82.47,68,4,1.01,US,2021-10-31 21:57:47
30,Nanortalik,60.1432,-45.2371,34.02,75,60,11.3,GL,2021-10-31 21:56:38
31,Yellowknife,62.456,-114.3525,34.41,91,40,10.36,CA,2021-10-31 21:57:47
32,Yaan,7.3833,8.5667,76.3,81,43,5.95,NG,2021-10-31 21:57:48
33,Verkhniy Rohachyk,47.2505,34.338,43.75,89,0,8.39,UA,2021-10-31 21:57:48
34,Srednekolymsk,67.45,153.6833,-8.79,100,96,6.64,RU,2021-10-31 21:55:31
35,Port Alfred,-33.5906,26.891,66.43,83,79,15.39,ZA,2021-10-31 21:57:49
36,Luderitz,-26.6481,15.1594,60.94,79,57,5.82,NA,2021-10-31 21:57:49
37,Taber,49.8167,-112.1518,35.71,80,1,5.75,CA,2021-10-31 21:57:50
38,Georgetown,5.4112,100.3354,78.89,93,20,1.99,MY,2021-10-31 21:52:55
39,Zirandaro,18.45,-100.9833,85.71,60,94,0.63,MX,2021-10-31 21:57:50
40,Pangnirtung,66.1451,-65.7125,25.23,96,100,5.17,CA,2021-10-31 21:54:24
41,Torbay,47.6666,-52.7314,43.57,95,90,12.66,CA,2021-10-31 21:56:40
42,Merauke,-8.4667,140.3333,80.92,83,82,11.16,ID,2021-10-31 21:53:53
43,General Cepeda,25.3833,-101.45,78.31,18,2,12.39,MX,2021-10-31 21:57:51
44,Dikson,73.5069,80.5464,6.53,93,100,11.83,RU,2021-10-31 21:51:58
45,Mataura,-46.1927,168.8643,58.48,44,75,8.48,NZ,2021-10-31 21:57:52
46,Salamiyah,35.0113,37.0532,65.5,65,99,20.94,SY,2021-10-31 21:57:52
47,Hilo,19.7297,-155.09,82.26,80,19,5.01,US,2021-10-31 21:56:40
48,Bethel,41.3712,-73.414,61.92,81,48,1.01,US,2021-10-31 21:55:20
49,Shimoda,34.6667,138.95,59.11,81,77,10.8,JP,2021-10-31 21:58:53
50,Chuy,-33.6971,-53.4616,65.61,94,38,8.57,UY,2021-10-31 21:58:53
51,Nova Olinda Do Norte,-3.8881,-59.0942,82.69,67,95,1.36,BR,2021-10-31 21:58:53
52,Acapulco,16.8634,-99.8901,82.27,77,81,6.31,MX,2021-10-31 21:58:06
53,Ueda,36.4,138.2667,48.0,84,42,1.9,JP,2021-10-31 21:58:54
54,Okhotsk,59.3833,143.3,8.02,72,1,14.74,RU,2021-10-31 21:58:55
55,Lincoln,40.8,-96.667,49.44,48,48,1.99,US,2021-10-31 21:57:16
56,Balad,34.0164,44.1453,77.45,34,98,6.46,IQ,2021-10-31 21:58:55
57,Imbituba,-28.24,-48.6703,71.49,92,78,10.74,BR,2021-10-31 21:58:55
58,Sovetskiy,61.3614,63.5842,19.22,94,100,8.46,RU,2021-10-31 21:58:56
59,Bathsheba,13.2167,-59.5167,77.61,83,75,19.57,BB,2021-10-31 21:58:56
60,Busselton,-33.65,115.3333,53.1,63,93,18.37,AU,2021-10-31 21:58:57
61,El Real De Santa Maria,8.109,-77.7325,78.12,95,94,2.24,PA,2021-10-31 21:58:57
62,Soligalich,59.0778,42.2864,38.86,94,83,5.91,RU,2021-10-31 21:58:58
63,Arraial Do Cabo,-22.9661,-42.0278,71.56,94,90,9.22,BR,2021-10-31 21:56:52
64,Lahaina,20.8783,-156.6825,80.65,62,1,1.19,US,2021-10-31 21:58:58
65,Karratha,-20.7377,116.8463,71.98,64,0,6.22,AU,2021-10-31 21:58:59
66,Ushuaia,-54.8,-68.3,55.06,44,0,6.91,AR,2021-10-31 21:58:59
67,Khatanga,71.9667,102.5,5.72,96,100,11.12,RU,2021-10-31 21:58:59
68,Pevek,69.7008,170.3133,-0.09,96,100,4.94,RU,2021-10-31 21:59:00
69,Honiara,-9.4333,159.95,84.79,69,43,1.34,SB,2021-10-31 21:59:00
70,Buin,-33.7333,-70.75,71.92,36,100,7.09,CL,2021-10-31 21:59:01
71,Fairbanks,64.8378,-147.7164,43.14,50,100,9.48,US,2021-10-31 21:58:48
72,Kodiak,57.79,-152.4072,45.91,87,90,16.11,US,2021-10-31 21:59:01
73,Qingdao,36.0986,120.3719,44.2,100,0,8.95,CN,2021-10-31 21:59:02
74,Butaritari,3.0707,172.7902,81.54,77,35,9.69,KI,2021-10-31 21:59:02
75,Darnah,32.767,22.6367,67.19,78,100,16.35,LY,2021-10-31 21:59:03
76,New Norfolk,-42.7826,147.0587,56.91,56,100,1.01,AU,2021-10-31 21:59:03
77,Hermanus,-34.4187,19.2345,62.91,85,100,11.56,ZA,2021-10-31 21:59:04
78,Zhezkazgan,47.8043,67.7144,40.91,79,82,9.04,KZ,2021-10-31 21:59:04
79,Muros,42.7762,-9.0603,58.23,94,100,13.06,ES,2021-10-31 21:54:54
80,Gari,59.4307,62.3497,36.25,98,100,8.7,RU,2021-10-31 21:59:05
81,Touros,-5.1989,-35.4608,81.5,75,62,16.17,BR,2021-10-31 21:59:05
82,Vardo,70.3705,31.1107,35.58,87,75,21.85,NO,2021-10-31 21:59:06
83,Pisco,-13.7,-76.2167,68.05,68,0,23.02,PE,2021-10-31 21:59:06
84,Chifeng,42.2683,118.9636,37.15,79,83,4.38,CN,2021-10-31 21:59:07
85,Lagoa,39.05,-27.9833,69.19,89,100,3.96,PT,2021-10-31 21:59:07
86,Onega,63.9061,38.1404,40.96,95,100,3.8,RU,2021-10-31 21:59:07
87,Gizo,-8.103,156.8419,82.87,73,100,8.93,SB,2021-10-31 21:59:08
88,Kruisfontein,-34.0033,24.7314,61.88,71,74,5.01,ZA,2021-10-31 21:56:40
89,Akyab,20.15,92.9,76.71,84,60,4.94,MM,2021-10-31 21:59:08
90,Mossoro,-5.1875,-37.3442,82.35,74,20,19.57,BR,2021-10-31 21:59:09
91,Hobart,-42.8794,147.3294,57.25,63,75,3.0,AU,2021-10-31 21:59:09
92,Girua,-28.0283,-54.3497,73.89,76,57,6.35,BR,2021-10-31 21:59:10
93,Carutapera,-1.195,-46.02,77.38,90,52,6.06,BR,2021-10-31 22:00:10
94,Malacky,48.436,17.0219,54.3,68,19,16.26,SK,2021-10-31 22:00:11
95,Kavieng,-2.5744,150.7967,84.76,71,95,17.27,PG,2021-10-31 22:00:12
96,Chokurdakh,70.6333,147.9167,-10.52,99,99,5.93,RU,2021-10-31 22:00:13
